Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-12-17,441A0,703.0,703.0,682.0,697.0,0,0,46700.0,32376800.0,1.0,703.0,703.0,682.0,697.0,46700.0,701.0,False
2025-12-18,441A0,693.0,697.0,681.0,690.0,0,0,43400.0,29934100.0,1.0,693.0,697.0,681.0,690.0,43400.0,697.0,False
2025-12-19,441A0,691.0,711.0,691.0,711.0,0,0,52500.0,37109900.0,1.0,691.0,711.0,691.0,711.0,52500.0,690.0,False
2025-12-22,441A0,711.0,712.0,681.0,684.0,0,0,50700.0,34996900.0,1.0,711.0,712.0,681.0,684.0,50700.0,711.0,False
2025-12-23,441A0,686.0,693.0,670.0,670.0,0,0,57300.0,39123900.0,1.0,686.0,693.0,670.0,670.0,57300.0,684.0,False
2025-12-24,441A0,670.0,674.0,661.0,665.0,0,0,86600.0,57681100.0,1.0,670.0,674.0,661.0,665.0,86600.0,670.0,False
2025-12-25,441A0,669.0,674.0,665.0,668.0,0,0,33200.0,22235400.0,1.0,669.0,674.0,665.0,668.0,33200.0,665.0,False
2025-12-26,441A0,678.0,682.0,664.0,666.0,0,0,55900.0,37556500.0,1.0,678.0,682.0,664.0,666.0,55900.0,668.0,False
2025-12-29,441A0,666.0,682.0,658.0,680.0,0,0,57900.0,38701400.0,1.0,666.0,682.0,658.0,680.0,57900.0,666.0,False
2025-12-30,441A0,675.0,675.0,650.0,653.0,0,0,55500.0,36631400.0,1.0,675.0,675.0,650.0,653.0,55500.0,680.0,False
2026-01-05,441A0,655.0,674.0,655.0,670.0,0,0,23400.0,15596700.0,1.0,655.0,674.0,655.0,670.0,23400.0,653.0,False
2026-01-06,441A0,664.0,670.0,662.0,668.0,0,0,25800.0,17187900.0,1.0,664.0,670.0,662.0,668.0,25800.0,670.0,False
2026-01-07,441A0,662.0,670.0,657.0,658.0,0,0,20500.0,13571200.0,1.0,662.0,670.0,657.0,658.0,20500.0,668.0,False
2026-01-08,441A0,658.0,685.0,658.0,670.0,0,0,68400.0,46169800.0,1.0,658.0,685.0,658.0,670.0,68400.0,658.0,False
2026-01-09,441A0,671.0,690.0,671.0,681.0,0,0,54700.0,37253500.0,1.0,671.0,690.0,671.0,681.0,54700.0,670.0,False
2026-01-13,441A0,690.0,701.0,667.0,667.0,0,0,128700.0,89397300.0,1.0,690.0,701.0,667.0,667.0,128700.0,681.0,False
2026-01-14,441A0,670.0,676.0,666.0,670.0,0,0,11300.0,7575700.0,1.0,670.0,676.0,666.0,670.0,11300.0,667.0,False
2026-01-15,441A0,665.0,665.0,633.0,634.0,0,0,103200.0,66132800.0,1.0,665.0,665.0,633.0,634.0,103200.0,670.0,False
2026-01-16,441A0,641.0,649.0,639.0,644.0,0,0,37000.0,23811100.0,1.0,641.0,649.0,639.0,644.0,37000.0,634.0,False
2026-01-19,441A0,641.0,641.0,618.0,634.0,0,0,78600.0,49473300.0,1.0,641.0,641.0,618.0,634.0,78600.0,644.0,False
2026-01-20,441A0,630.0,638.0,620.0,625.0,0,0,29700.0,18582400.0,1.0,630.0,638.0,620.0,625.0,29700.0,634.0,False
2026-01-21,441A0,623.0,623.0,614.0,615.0,0,0,36900.0,22827800.0,1.0,623.0,623.0,614.0,615.0,36900.0,625.0,False
2026-01-22,441A0,616.0,625.0,616.0,616.0,0,0,55100.0,34116500.0,1.0,616.0,625.0,616.0,616.0,55100.0,615.0,False
2026-01-23,441A0,608.0,698.0,601.0,689.0,0,0,191900.0,126531000.0,1.0,608.0,698.0,601.0,689.0,191900.0,616.0,False
2026-01-26,441A0,680.0,680.0,661.0,666.0,0,0,71500.0,47985700.0,1.0,680.0,680.0,661.0,666.0,71500.0,689.0,False
2026-01-27,441A0,675.0,678.0,666.0,672.0,0,0,48600.0,32571200.0,1.0,675.0,678.0,666.0,672.0,48600.0,666.0,False
2026-01-28,441A0,682.0,713.0,672.0,701.0,0,0,128700.0,88836700.0,1.0,682.0,713.0,672.0,701.0,128700.0,672.0,False
2026-01-29,441A0,710.0,720.0,700.0,710.0,0,0,153200.0,108833000.0,1.0,710.0,720.0,700.0,710.0,153200.0,701.0,False
2026-01-30,441A0,710.0,725.0,705.0,725.0,0,0,47900.0,34235300.0,1.0,710.0,725.0,705.0,725.0,47900.0,710.0,False
2026-02-02,441A0,716.0,728.0,708.0,710.0,0,0,51100.0,36515700.0,1.0,716.0,728.0,708.0,710.0,51100.0,725.0,False
2026-02-03,441A0,716.0,721.0,708.0,712.0,0,0,27200.0,19392400.0,1.0,716.0,721.0,708.0,712.0,27200.0,710.0,False
2026-02-04,441A0,703.0,714.0,701.0,709.0,0,0,24100.0,17086100.0,1.0,703.0,714.0,701.0,709.0,24100.0,712.0,False
2026-02-05,441A0,705.0,716.0,699.0,700.0,0,0,30200.0,21295600.0,1.0,705.0,716.0,699.0,700.0,30200.0,709.0,False
2026-02-06,441A0,699.0,701.0,679.0,690.0,0,0,27400.0,18927000.0,1.0,699.0,701.0,679.0,690.0,27400.0,700.0,False
