code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,ret_oc,ret_max,ret_low
3185,2025-12-17,2025-12-18,NORMAL,NORMAL,-5.0,3,-3.79,0.0,-5.69
3186,2026-03-06,2026-03-10,NORMAL,WEAK,-13.16,6,-0.73,4.33,-2.37
3186,2026-03-10,2026-03-11,WEAK,NORMAL,-5.01,6,2.77,4.57,-0.65
3187,2025-12-19,2025-12-22,NORMAL,NORMAL,-4.21,8,-4.26,0.0,-5.81
3189,2025-11-04,2025-11-05,NORMAL,WEAK,-4.19,6,0.63,2.32,-2.32
3189,2025-11-13,2025-11-14,NORMAL,NORMAL,-6.5,6,-1.74,0.0,-3.04
3189,2025-11-25,2025-11-26,NORMAL,NORMAL,-5.64,6,4.99,13.3,0.0
3189,2025-12-03,2025-12-04,WEAK,NORMAL,-4.62,4,-4.36,0.97,-4.6
3189,2025-12-04,2025-12-05,NORMAL,WEAK,-4.36,5,0.0,1.0,-4.25
3189,2025-12-08,2025-12-09,NORMAL,NORMAL,-7.0,5,-2.14,1.87,-4.81
3189,2025-12-18,2025-12-19,NORMAL,NORMAL,-6.06,7,1.61,2.57,-1.61
3189,2025-12-22,2025-12-23,NORMAL,NORMAL,-16.46,10,-1.11,2.95,-5.9
3189,2026-02-13,2026-02-16,WEAK,NORMAL,-4.33,4,-0.41,0.81,-1.63
318A,2025-12-12,2025-12-15,NORMAL,NORMAL,-5.62,6,-1.22,0.38,-1.22
318A,2025-12-22,2025-12-23,NORMAL,NORMAL,-4.48,5,-0.44,0.2,-0.64
318A,2026-01-05,2026-01-06,NORMAL,NORMAL,-4.53,6,-0.21,0.34,-0.4
318A,2026-01-09,2026-01-13,NORMAL,NORMAL,-4.64,3,1.12,1.27,-0.1
3193,2026-03-16,2026-03-17,NORMAL,NORMAL,-7.42,7,0.15,2.01,-0.62
3195,2025-12-16,2025-12-17,WEAK,NORMAL,-4.54,3,-3.44,0.0,-4.39
3195,2026-03-16,2026-03-17,NORMAL,NORMAL,-5.73,7,-4.57,0.43,-5.22
319A,2026-01-30,2026-02-02,NORMAL,NORMAL,-4.15,4,4.74,6.25,-0.32
319A,2026-02-04,2026-02-05,NORMAL,NORMAL,-6.19,4,-0.75,0.32,-2.67
3204,2026-01-21,2026-01-22,WEAK,NORMAL,-7.9,3,0.6,0.6,-1.8
