type,score_min,score_max,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
AB(複合),0.8,7.6,0.0,48.8,-6.4,10.0,4.0,4.1,10.0,-3.6,STRONG,全件,0.26,0,0,5.0,4.531,650,62.2,0.641,416.7,★
AB(複合),0.0,5.0,0.0,50.0,-14.2,10.0,5.6,8.1,5.5,-7.0,STRONG,全件,0.06,0,0,5.0,4.509,746,63.0,0.689,513.7,★
AB(複合),0.0,9.0,0.0,8.1,-11.8,2.1,1.5,4.0,7.7,-3.7,STRONG,全件,0.17,0,0,5.0,4.504,4469,62.1,0.567,2535.1,★
AB(複合),1.4,6.9,0.0,16.7,-8.4,2.6,4.8,-1.0,10.0,-7.0,STRONG,全件,0.0,0,0,5.0,4.5,90,62.2,1.019,91.7,★
AB(複合),0.0,8.8,0.0,50.0,-13.8,8.5,4.3,5.6,10.0,-6.2,STRONG,全件,0.04,0,0,5.0,4.491,1747,62.7,0.686,1198.0,★
AB(複合),0.5,8.3,0.2,10.9,-13.1,6.8,0.1,2.5,5.1,-5.6,STRONG,全件,0.14,0,5,5.0,4.487,266,63.9,0.507,135.0,★
AB(複合),3.5,6.4,0.0,32.2,-9.0,8.7,5.1,0.7,1.6,-5.9,STRONG,全件,0.04,0,0,5.0,4.469,130,76.2,0.506,65.7,★
AB(複合),1.1,8.6,0.0,4.0,-11.1,8.0,1.7,8.9,9.5,-6.2,STRONG,全件,0.0,0,0,5.0,4.468,6446,62.9,0.644,4151.5,★
AB(複合),0.3,7.4,0.7,50.0,-15.0,8.4,0.0,4.0,5.4,-6.7,STRONG,全件,0.28,0,1,5.0,4.458,2985,63.3,0.547,1633.7,★
AB(複合),1.5,9.9,0.0,27.9,-5.2,4.7,1.1,1.9,5.8,-7.0,STRONG,全件,0.09,0,2,5.0,4.443,861,63.3,0.506,435.7,★
AB(複合),1.1,8.7,0.0,28.0,-5.7,10.0,0.0,3.4,5.3,-7.0,STRONG,全件,0.18,0,1,5.0,4.443,3014,63.1,0.558,1680.8,★
AB(複合),0.0,7.9,0.0,10.2,-15.0,7.2,3.0,3.5,3.6,-4.8,STRONG,全件,0.06,0,0,5.0,4.414,4533,61.9,0.528,2394.5,★
AB(複合),0.4,7.2,0.0,21.4,-8.1,4.3,2.6,3.6,3.0,-3.0,STRONG,全件,0.16,0,0,5.0,4.396,2852,61.1,0.47,1340.1,★
AB(複合),0.6,10.0,0.4,50.0,-3.9,2.3,4.1,2.1,8.0,-6.2,STRONG,全件,0.0,0,1,5.0,4.387,778,61.3,0.534,415.7,★
AB(複合),1.0,8.6,0.4,37.2,-13.7,5.4,2.7,9.4,7.5,-6.3,STRONG,全件,0.0,0,3,5.0,4.386,1020,62.1,0.592,603.7,★
AB(複合),0.0,8.5,0.1,50.0,-4.6,8.7,4.4,9.3,4.7,-5.9,STRONG,全件,0.0,0,1,5.0,4.373,1194,61.8,0.529,631.9,★
AB(複合),0.3,8.4,0.2,4.0,-11.2,8.0,2.7,10.0,5.5,-6.0,STRONG,全件,0.0,0,1,5.0,4.366,3345,62.4,0.562,1881.3,★
AB(複合),0.0,5.4,0.4,45.1,-9.0,8.5,4.9,6.1,4.9,-6.0,STRONG,全件,0.04,0,2,5.0,4.36,664,63.9,0.574,381.4,★
AB(複合),0.6,4.9,0.0,45.8,-12.4,9.4,4.8,9.6,3.8,-6.9,STRONG,全件,0.0,0,2,5.0,4.356,690,64.1,0.557,384.2,★
AB(複合),0.0,7.3,1.1,3.0,-14.1,10.0,2.7,6.9,7.3,-7.0,STRONG,全件,0.0,0,0,5.0,4.355,3110,61.7,0.594,1846.7,★
AB(複合),0.0,5.6,0.0,3.0,-6.6,3.8,2.3,3.9,8.3,-7.0,STRONG,全件,0.05,0,1,5.0,4.353,2170,61.5,0.54,1171.8,★
AB(複合),0.0,7.0,0.0,36.0,-15.0,6.2,4.3,5.1,3.6,-4.2,STRONG,全件,0.15,0,2,5.0,4.331,571,64.4,0.545,311.4,★
AB(複合),1.7,8.8,0.0,3.0,-7.4,8.4,3.7,5.9,5.5,-6.2,STRONG,全件,0.04,0,2,5.0,4.326,582,63.1,0.545,316.9,★
