drop_lo,drop_hi,rb_min,gap_max,condition,exit,n,wr,avg,sharpe,max_dd,cum
-8.0,-3.0,6,2.0,STRONG,引け決済,444,59.5,0.655,4.15,-18.0,290.9
-8.0,-3.0,5,2.0,STRONG,TP+5%/SL-3%,695,58.3,0.569,4.14,-14.5,395.1
-5.0,-3.0,2,999.0,STRONG,TP+5%/SL-5%,1559,60.2,0.565,4.14,-19.9,880.2
-4.0,-3.0,2,999.0,STRONG,TP+2%/SL-2%,1017,59.9,0.389,4.14,-16.4,395.8
-6.0,-3.0,3,999.0,STRONG,TP+3%/SL-3%,1468,59.9,0.495,4.13,-27.3,726.1
-5.0,-3.0,3,999.0,STRONG,TP+3%/SL-3%,1236,59.9,0.482,4.12,-23.5,595.6
-6.0,-4.0,3,999.0,STRONG,引け決済,668,59.6,0.65,4.12,-23.7,434.0
-5.0,-3.0,2,999.0,STRONG,TP+3%/SL-3%,1559,59.6,0.483,4.11,-21.6,753.0
-5.0,-3.0,2,999.0,STRONG,TP+5%/SL-3%,1559,59.1,0.541,4.11,-20.0,844.2
-6.0,-3.0,2,999.0,STRONG,TP+3%/SL-3%,1853,59.4,0.492,4.1,-19.0,911.5
-6.0,-5.0,3,999.0,STRONG,TP+5%/SL-3%,232,58.6,0.625,4.09,-15.8,145.0
-8.0,-5.0,4,2.0,STRONG,TP+5%/SL-3%,304,57.6,0.616,4.09,-20.3,187.3
-7.0,-6.0,3,2.0,STRONG,TP+5%/SL-5%,110,63.6,0.671,4.09,-8.2,73.8
-7.0,-4.0,6,2.0,STRONG,TP+5%/SL-3%,205,58.0,0.619,4.09,-15.9,127.0
-5.0,-3.0,3,999.0,STRONG,TP+5%/SL-3%,1236,59.4,0.533,4.09,-22.5,659.1
-6.0,-3.0,3,999.0,STRONG,TP+5%/SL-3%,1468,59.3,0.548,4.08,-25.7,804.1
-8.0,-4.0,3,2.0,STRONG,TP+3%/SL-3%,771,59.7,0.519,4.08,-23.5,400.2
-8.0,-5.0,2,2.0,STRONG,TP+5%/SL-5%,491,60.5,0.656,4.07,-19.9,322.1
-7.0,-3.0,4,999.0,STRONG,引け決済,1124,61.2,0.604,4.07,-55.5,678.5
-7.0,-6.0,3,2.0,STRONG,引け決済,110,64.5,0.593,4.07,-6.4,65.2
-5.0,-4.0,2,999.0,STRONG,引け決済,542,58.1,0.621,4.07,-15.9,336.8
-6.0,-5.0,2,999.0,STRONG,TP+3%/SL-3%,294,58.5,0.539,4.07,-18.9,158.4
-8.0,-4.0,2,2.0,STRONG,TP+3%/SL-3%,939,59.1,0.516,4.06,-15.8,484.5
-8.0,-4.0,5,2.0,STRONG,引け決済,379,58.6,0.657,4.06,-18.6,248.9
-6.0,-3.0,2,999.0,STRONG,TP+5%/SL-3%,1853,58.8,0.547,4.06,-19.0,1013.3
-8.0,-5.0,3,2.0,STRONG,引け決済,407,60.7,0.678,4.05,-18.9,276.1
-6.0,-4.0,2,2.0,STRONG,TP+2%/SL-2%,692,58.8,0.409,4.05,-14.5,282.9
-8.0,-6.0,6,0.0,STRONG,TP+5%/SL-5%,36,61.1,0.769,4.05,-6.8,27.7
-7.0,-3.0,4,999.0,STRONG,TP+5%/SL-3%,1124,59.5,0.553,4.03,-27.8,621.9
-7.0,-3.0,2,999.0,STRONG,TP+5%/SL-5%,2032,60.1,0.575,4.02,-27.0,1167.7
-7.0,-3.0,3,999.0,STRONG,TP+5%/SL-5%,1610,60.3,0.566,4.02,-35.1,911.8
-5.0,-3.0,2,999.0,STRONG,引け決済,1559,60.4,0.574,4.02,-19.7,894.2
-7.0,-3.0,4,999.0,STRONG,TP+3%/SL-3%,1124,60.3,0.492,4.02,-28.3,552.9
-6.0,-4.0,5,999.0,STRONG,TP+5%/SL-5%,312,58.7,0.608,4.01,-31.9,189.7
-7.0,-4.0,2,2.0,STRONG,TP+2%/SL-2%,828,59.2,0.407,4.01,-13.2,337.2
-7.0,-5.0,4,999.0,STRONG,TP+5%/SL-5%,276,60.1,0.641,4.01,-16.0,176.8
-7.0,-4.0,6,2.0,STRONG,TP+3%/SL-3%,205,58.5,0.532,4.0,-16.0,109.1
-4.0,-3.0,2,999.0,STRONG,引け決済,1017,61.6,0.548,4.0,-21.7,557.4
-6.0,-5.0,6,2.0,STRONG,TP+5%/SL-3%,62,54.8,0.604,4.0,-12.2,37.5
-8.0,-4.0,2,2.0,STRONG,引け決済,939,59.9,0.638,4.0,-25.1,598.8
-5.0,-4.0,3,999.0,STRONG,引け決済,436,59.4,0.605,4.0,-22.8,264.0
-6.0,-3.0,3,999.0,STRONG,引け決済,1468,60.6,0.59,4.0,-34.4,865.5
-6.0,-4.0,4,999.0,STRONG,TP+2%/SL-2%,460,59.1,0.409,3.99,-27.9,188.2
