drop_lo,drop_hi,rb_min,gap_max,condition,exit,n,wr,avg,sharpe,max_dd,cum
-6.0,-3.0,3,999.0,ALL,TP+5%/SL-5%,6028,48.3,0.012,0.08,-359.6,72.1
-8.0,-6.0,5,0.0,NORMAL,TP+5%/SL-5%,246,47.6,0.015,0.08,-50.3,3.7
-5.0,-4.0,3,2.0,ALL,TP+5%/SL-5%,1698,47.9,0.012,0.08,-70.8,20.2
-6.0,-3.0,4,2.0,NORMAL,TP+3%/SL-3%,2309,47.3,0.011,0.08,-69.0,24.3
-6.0,-4.0,5,2.0,ALL,引け決済,1253,47.9,0.013,0.08,-66.2,16.0
-5.0,-4.0,3,999.0,ALL,TP+5%/SL-3%,1866,46.0,0.012,0.08,-84.2,22.3
-4.0,-3.0,5,999.0,ALL,TP+3%/SL-3%,1297,47.7,0.009,0.07,-81.4,11.9
-4.0,-3.0,2,0.0,NORMAL,TP+3%/SL-3%,1260,49.6,0.009,0.07,-67.6,10.8
-7.0,-5.0,4,2.0,NORMAL+STRONG,TP+2%/SL-2%,1023,48.1,0.008,0.07,-50.3,7.9
-6.0,-3.0,2,0.0,ALL,TP+5%/SL-3%,3794,47.7,0.01,0.07,-181.1,38.6
-7.0,-4.0,4,0.0,NORMAL+STRONG,TP+2%/SL-2%,1001,48.3,0.007,0.07,-46.4,7.4
-6.0,-3.0,2,0.0,ALL,TP+5%/SL-5%,3794,49.3,0.011,0.07,-165.6,41.5
-7.0,-6.0,3,0.0,NORMAL+STRONG,TP+5%/SL-3%,308,44.8,0.01,0.07,-38.2,3.2
-5.0,-4.0,2,999.0,NORMAL,TP+5%/SL-3%,1523,45.3,0.01,0.07,-89.2,15.2
-5.0,-4.0,4,999.0,ALL,引け決済,1243,48.4,0.01,0.07,-69.8,13.0
-5.0,-4.0,6,999.0,NORMAL,TP+5%/SL-5%,344,49.7,0.013,0.07,-40.9,4.3
-8.0,-4.0,4,2.0,NORMAL,TP+5%/SL-5%,1790,47.3,0.01,0.07,-86.7,18.8
-5.0,-3.0,5,2.0,ALL,引け決済,1946,48.4,0.011,0.07,-84.1,21.7
-5.0,-4.0,6,999.0,ALL,TP+3%/SL-3%,547,47.2,0.01,0.07,-29.9,5.4
-6.0,-4.0,4,999.0,NORMAL,TP+5%/SL-3%,1291,45.5,0.01,0.07,-79.1,12.7
-4.0,-3.0,6,2.0,ALL,TP+5%/SL-5%,711,47.5,0.01,0.06,-108.1,6.9
-6.0,-3.0,4,999.0,ALL,引け決済,4071,48.4,0.009,0.06,-217.2,37.3
-8.0,-5.0,6,2.0,NORMAL+STRONG,TP+5%/SL-3%,685,47.6,0.009,0.06,-66.4,6.4
-8.0,-3.0,4,2.0,ALL,引け決済,4617,48.3,0.009,0.06,-186.6,40.5
-5.0,-4.0,6,0.0,NORMAL,TP+5%/SL-3%,171,46.2,0.01,0.06,-28.9,1.7
-7.0,-3.0,6,0.0,NORMAL+STRONG,TP+5%/SL-5%,768,49.3,0.01,0.06,-64.3,7.5
-4.0,-3.0,3,0.0,ALL,TP+2%/SL-2%,1437,49.1,0.006,0.06,-95.2,8.5
-8.0,-3.0,6,0.0,NORMAL+STRONG,TP+3%/SL-3%,865,48.4,0.009,0.06,-60.6,7.6
-8.0,-3.0,5,2.0,ALL,TP+3%/SL-3%,3125,47.4,0.008,0.06,-113.6,23.6
-7.0,-3.0,5,2.0,NORMAL,TP+5%/SL-3%,1770,45.5,0.009,0.06,-82.4,16.3
-6.0,-4.0,6,0.0,NORMAL+STRONG,TP+3%/SL-3%,333,48.9,0.008,0.06,-36.1,2.6
-6.0,-3.0,5,2.0,ALL,引け決済,2437,47.9,0.009,0.06,-104.8,23.2
-7.0,-4.0,5,999.0,NORMAL,TP+5%/SL-5%,1167,47.6,0.01,0.06,-67.6,11.1
-8.0,-6.0,6,2.0,STRONG,TP+3%/SL-3%,91,52.7,0.007,0.05,-15.5,0.7
-6.0,-3.0,4,999.0,NORMAL,TP+5%/SL-5%,2502,47.4,0.007,0.05,-125.4,17.2
-5.0,-4.0,4,999.0,NORMAL,引け決済,778,48.3,0.008,0.05,-52.3,6.1
-8.0,-6.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,877,45.3,0.008,0.05,-74.4,7.2
-7.0,-6.0,2,0.0,NORMAL+STRONG,TP+5%/SL-3%,371,45.8,0.007,0.05,-50.2,2.8
-6.0,-4.0,3,2.0,ALL,TP+5%/SL-3%,2702,46.0,0.007,0.05,-114.9,18.6
-8.0,-6.0,6,2.0,NORMAL+STRONG,TP+2%/SL-2%,427,49.2,0.005,0.05,-33.4,2.3
-7.0,-3.0,2,999.0,NORMAL+STRONG,TP+2%/SL-2%,7609,48.1,0.005,0.05,-181.7,41.2
-7.0,-3.0,2,999.0,ALL,TP+5%/SL-5%,8900,48.2,0.008,0.05,-304.5,70.1
-5.0,-4.0,2,0.0,NORMAL,引け決済,756,50.5,0.008,0.05,-65.1,5.7
-5.0,-4.0,3,2.0,NORMAL,引け決済,1079,48.2,0.008,0.05,-62.3,8.8
-8.0,-3.0,2,2.0,ALL,TP+5%/SL-3%,8704,46.7,0.006,0.04,-193.9,54.2
-8.0,-3.0,5,0.0,ALL,TP+5%/SL-3%,1655,46.0,0.006,0.04,-107.8,9.8
-7.0,-3.0,5,2.0,NORMAL,TP+5%/SL-5%,1770,46.9,0.006,0.04,-99.4,10.3
-7.0,-4.0,5,2.0,ALL,TP+5%/SL-5%,1632,47.6,0.007,0.04,-75.9,11.7
-8.0,-3.0,3,2.0,ALL,TP+5%/SL-3%,6733,46.6,0.006,0.04,-212.6,37.3
-8.0,-5.0,2,999.0,NORMAL+STRONG,TP+5%/SL-5%,2672,48.7,0.007,0.04,-121.1,18.1
-5.0,-4.0,2,2.0,NORMAL,引け決済,1396,48.1,0.007,0.04,-74.7,9.8
-6.0,-5.0,5,999.0,NORMAL+STRONG,TP+5%/SL-3%,480,45.8,0.006,0.04,-65.9,3.1
-6.0,-3.0,2,2.0,NORMAL,TP+5%/SL-5%,4523,48.0,0.005,0.04,-136.3,24.5
-7.0,-3.0,4,0.0,ALL,引け決済,2180,49.2,0.007,0.04,-97.7,16.0
-8.0,-3.0,3,2.0,ALL,TP+5%/SL-5%,6733,48.2,0.006,0.04,-239.5,42.0
-8.0,-4.0,5,2.0,NORMAL,引け決済,1265,48.2,0.007,0.04,-91.9,8.5
-7.0,-6.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,486,45.7,0.006,0.04,-49.5,3.1
-7.0,-3.0,6,0.0,NORMAL+STRONG,TP+3%/SL-3%,768,48.4,0.005,0.04,-53.1,4.1
-7.0,-5.0,2,999.0,NORMAL+STRONG,TP+5%/SL-3%,2050,46.7,0.007,0.04,-96.2,13.9
-8.0,-3.0,4,999.0,ALL,TP+5%/SL-5%,5087,47.8,0.007,0.04,-268.6,35.5
-4.0,-3.0,5,2.0,ALL,引け決済,1184,48.0,0.006,0.04,-71.9,7.1
-7.0,-5.0,5,999.0,NORMAL+STRONG,TP+5%/SL-3%,837,45.9,0.005,0.04,-83.3,4.6
-4.0,-3.0,3,2.0,ALL,引け決済,2788,49.2,0.006,0.04,-207.4,16.5
-7.0,-5.0,3,999.0,NORMAL+STRONG,引け決済,1634,49.2,0.006,0.04,-98.5,10.1
-5.0,-4.0,2,999.0,ALL,TP+5%/SL-5%,2415,47.1,0.005,0.03,-72.4,11.0
-6.0,-3.0,4,999.0,NORMAL,TP+5%/SL-3%,2502,45.8,0.004,0.03,-87.8,9.9
-7.0,-6.0,5,999.0,NORMAL+STRONG,TP+5%/SL-3%,357,45.9,0.004,0.03,-47.2,1.5
-6.0,-3.0,5,2.0,NORMAL,TP+5%/SL-5%,1507,47.0,0.004,0.03,-79.4,5.9
-5.0,-3.0,5,999.0,ALL,TP+5%/SL-5%,2136,47.9,0.004,0.03,-109.0,8.5
-6.0,-3.0,6,999.0,NORMAL+STRONG,TP+2%/SL-2%,1445,47.1,0.003,0.03,-72.0,4.4
-8.0,-3.0,4,0.0,ALL,TP+3%/SL-3%,2399,48.5,0.003,0.03,-115.0,8.2
-6.0,-4.0,5,999.0,NORMAL,TP+5%/SL-3%,886,45.3,0.004,0.03,-57.0,3.6
-5.0,-3.0,2,2.0,NORMAL,TP+3%/SL-3%,3699,47.9,0.003,0.03,-121.6,12.4
-4.0,-3.0,5,0.0,ALL,引け決済,624,48.4,0.004,0.03,-48.0,2.7
-6.0,-3.0,2,999.0,ALL,TP+5%/SL-3%,7964,46.6,0.005,0.03,-342.3,37.3
-4.0,-3.0,2,999.0,ALL,引け決済,4088,48.9,0.004,0.03,-236.3,17.1
-6.0,-3.0,3,0.0,ALL,TP+5%/SL-5%,2860,49.7,0.004,0.03,-177.5,12.7
-6.0,-4.0,3,2.0,ALL,TP+5%/SL-5%,2702,47.9,0.005,0.03,-131.1,14.4
-4.0,-3.0,5,0.0,ALL,TP+2%/SL-2%,624,47.3,0.003,0.03,-41.4,1.9
-6.0,-3.0,5,999.0,ALL,TP+5%/SL-3%,2697,46.0,0.004,0.03,-145.0,11.7
-8.0,-6.0,2,0.0,NORMAL+STRONG,TP+5%/SL-5%,664,48.3,0.006,0.03,-92.3,3.8
-6.0,-4.0,6,2.0,ALL,TP+3%/SL-3%,802,47.1,0.002,0.02,-74.0,2.0
-4.0,-3.0,4,0.0,NORMAL,TP+5%/SL-3%,608,47.9,0.003,0.02,-70.0,1.9
-5.0,-3.0,3,2.0,NORMAL,TP+5%/SL-5%,2762,47.6,0.002,0.02,-102.9,6.5
-6.0,-5.0,5,2.0,ALL,引け決済,491,46.0,0.003,0.02,-53.6,1.4
-6.0,-4.0,5,999.0,NORMAL,TP+5%/SL-5%,886,47.9,0.003,0.02,-60.2,2.8
-6.0,-3.0,3,999.0,ALL,TP+5%/SL-3%,6028,46.6,0.003,0.02,-350.3,20.8
-8.0,-3.0,6,2.0,ALL,TP+5%/SL-3%,2011,46.3,0.003,0.02,-137.6,6.7
-8.0,-3.0,3,0.0,ALL,TP+5%/SL-3%,3537,47.0,0.003,0.02,-164.4,10.1
-6.0,-4.0,2,999.0,ALL,TP+5%/SL-5%,3876,47.5,0.004,0.02,-174.6,13.6
-7.0,-3.0,3,0.0,ALL,TP+5%/SL-3%,3232,47.3,0.003,0.02,-169.2,9.4
-8.0,-6.0,5,2.0,NORMAL+STRONG,TP+3%/SL-3%,583,48.7,0.003,0.02,-43.2,1.9
-6.0,-3.0,5,2.0,ALL,TP+2%/SL-2%,2437,46.8,0.002,0.02,-88.6,3.8
-5.0,-3.0,5,0.0,ALL,引け決済,1039,49.0,0.003,0.02,-78.0,2.7
-6.0,-4.0,4,0.0,ALL,TP+3%/SL-3%,960,47.9,0.002,0.02,-67.1,2.4
-5.0,-3.0,2,999.0,NORMAL,TP+5%/SL-5%,4000,47.6,0.004,0.02,-139.1,14.3
-5.0,-4.0,2,999.0,ALL,TP+5%/SL-3%,2415,45.3,0.003,0.02,-71.2,8.2
-4.0,-3.0,4,999.0,NORMAL,TP+2%/SL-2%,1211,47.2,0.002,0.02,-51.6,2.7
-4.0,-3.0,5,999.0,ALL,TP+2%/SL-2%,1297,47.1,0.001,0.01,-62.9,1.6
-7.0,-4.0,2,2.0,ALL,TP+5%/SL-5%,4295,47.9,0.002,0.01,-123.3,7.9
-6.0,-5.0,2,999.0,ALL,TP+5%/SL-5%,1461,48.2,0.002,0.01,-134.8,2.6
-5.0,-3.0,3,0.0,NORMAL,TP+3%/SL-3%,1491,49.4,0.001,0.01,-67.1,2.0
-8.0,-6.0,4,2.0,NORMAL,TP+5%/SL-3%,615,45.5,0.001,0.01,-83.6,0.7
-7.0,-6.0,4,0.0,NORMAL+STRONG,TP+3%/SL-3%,220,47.7,0.002,0.01,-24.3,0.4
-7.0,-3.0,4,2.0,NORMAL,TP+3%/SL-3%,2657,47.2,0.002,0.01,-90.1,4.2
-7.0,-3.0,4,999.0,ALL,TP+3%/SL-3%,4631,47.7,0.001,0.01,-224.9,3.0
-7.0,-3.0,2,0.0,ALL,TP+5%/SL-3%,4240,47.2,0.002,0.01,-185.0,6.6
-6.0,-3.0,2,0.0,NORMAL,TP+5%/SL-5%,2464,49.3,0.001,0.01,-103.0,3.5
-7.0,-3.0,2,2.0,ALL,TP+3%/SL-3%,8062,48.2,0.001,0.01,-278.9,9.2
-6.0,-4.0,4,999.0,NORMAL,TP+5%/SL-5%,1291,47.5,0.001,0.01,-93.1,1.9
-5.0,-3.0,2,2.0,ALL,引け決済,5948,48.7,0.002,0.01,-262.7,12.8
-7.0,-3.0,2,0.0,ALL,TP+5%/SL-5%,4240,49.0,0.001,0.01,-179.3,5.5
-7.0,-4.0,5,2.0,ALL,TP+3%/SL-3%,1632,47.0,0.001,0.01,-72.8,1.9
-8.0,-4.0,5,999.0,NORMAL,TP+5%/SL-5%,1388,47.8,0.002,0.01,-81.9,3.1
-8.0,-4.0,2,999.0,NORMAL+STRONG,TP+3%/SL-3%,4737,47.9,0.002,0.01,-101.2,7.7
-7.0,-5.0,2,0.0,NORMAL+STRONG,TP+3%/SL-3%,914,48.6,0.002,0.01,-53.0,1.8
-5.0,-3.0,5,999.0,NORMAL,TP+5%/SL-5%,1285,47.2,0.002,0.01,-70.9,2.0
-6.0,-4.0,2,2.0,NORMAL,TP+5%/SL-3%,2220,45.7,0.002,0.01,-112.2,3.4
-7.0,-6.0,3,2.0,NORMAL+STRONG,TP+5%/SL-3%,597,46.6,0.0,0.0,-75.4,0.1
-7.0,-4.0,5,999.0,NORMAL+STRONG,TP+2%/SL-2%,1555,46.9,-0.0,-0.0,-62.9,-0.5
-7.0,-5.0,4,999.0,NORMAL+STRONG,TP+3%/SL-3%,1170,47.9,0.0,0.0,-93.2,0.0
-7.0,-4.0,4,2.0,NORMAL,TP+5%/SL-5%,1523,46.8,-0.0,-0.0,-83.2,-0.3
-7.0,-4.0,4,2.0,ALL,引け決済,2345,47.6,-0.001,-0.0,-108.5,-1.8
-5.0,-4.0,5,0.0,ALL,引け決済,415,49.9,0.0,0.0,-52.2,0.0
-8.0,-6.0,5,0.0,ALL,TP+5%/SL-5%,368,47.6,0.0,0.0,-65.8,0.2
-6.0,-4.0,5,2.0,NORMAL,TP+3%/SL-3%,803,46.8,0.001,0.0,-45.7,0.5
-8.0,-3.0,4,2.0,NORMAL,TP+3%/SL-3%,2924,47.3,0.0,0.0,-103.0,0.2
-5.0,-3.0,3,2.0,NORMAL,TP+5%/SL-3%,2762,46.3,0.001,0.0,-120.1,1.7
-8.0,-6.0,5,999.0,NORMAL,TP+5%/SL-5%,502,47.6,0.001,0.0,-72.6,0.3
-7.0,-5.0,3,0.0,NORMAL+STRONG,TP+5%/SL-3%,736,46.6,0.0,0.0,-54.4,0.2
-8.0,-3.0,4,0.0,ALL,引け決済,2399,49.0,-0.001,-0.0,-114.4,-1.2
-5.0,-4.0,4,2.0,ALL,TP+2%/SL-2%,1132,46.8,-0.0,-0.0,-45.0,-0.1
-8.0,-4.0,5,2.0,ALL,TP+5%/SL-3%,1941,45.5,0.0,0.0,-88.8,0.7
-5.0,-4.0,5,999.0,NORMAL,引け決済,528,49.2,-0.0,-0.0,-47.2,-0.2
-6.0,-4.0,2,0.0,ALL,TP+5%/SL-5%,1830,48.6,0.0,0.0,-118.5,0.7
-6.0,-5.0,4,0.0,ALL,引け決済,374,47.9,-0.0,-0.0,-52.0,-0.1
-8.0,-4.0,6,999.0,NORMAL+STRONG,TP+3%/SL-3%,1251,48.6,-0.002,-0.01,-79.9,-2.5
-7.0,-4.0,2,2.0,NORMAL+STRONG,TP+2%/SL-2%,3627,47.8,-0.001,-0.01,-84.5,-3.4
-6.0,-3.0,2,2.0,ALL,引け決済,7232,48.6,-0.001,-0.01,-340.2,-10.8
-8.0,-5.0,6,0.0,NORMAL+STRONG,引け決済,339,47.8,-0.001,-0.01,-54.8,-0.4
-5.0,-4.0,3,999.0,ALL,TP+5%/SL-5%,1866,47.7,-0.001,-0.01,-92.8,-2.4
-6.0,-4.0,4,999.0,ALL,引け決済,2050,48.0,-0.001,-0.01,-137.4,-2.5
-5.0,-3.0,2,999.0,ALL,TP+3%/SL-3%,6503,47.9,-0.001,-0.01,-288.1,-9.1
-8.0,-4.0,4,2.0,ALL,TP+5%/SL-5%,2754,47.2,-0.002,-0.01,-169.2,-5.5
-5.0,-4.0,5,2.0,NORMAL,TP+2%/SL-2%,488,46.7,-0.001,-0.01,-37.3,-0.7
-6.0,-4.0,2,0.0,ALL,TP+5%/SL-3%,1830,46.2,-0.002,-0.01,-112.2,-3.7
-7.0,-3.0,6,2.0,ALL,TP+3%/SL-3%,1783,47.4,-0.001,-0.01,-114.1,-1.5
-5.0,-3.0,3,2.0,ALL,引け決済,4486,48.7,-0.001,-0.01,-237.7,-4.0
-5.0,-4.0,4,2.0,NORMAL,TP+2%/SL-2%,723,46.7,-0.001,-0.01,-42.9,-0.9
-8.0,-3.0,3,0.0,ALL,TP+5%/SL-5%,3537,49.0,-0.002,-0.01,-181.1,-8.1
-6.0,-5.0,2,999.0,NORMAL+STRONG,TP+3%/SL-3%,1234,48.0,-0.002,-0.01,-110.2,-2.0
-6.0,-4.0,5,2.0,NORMAL,引け決済,803,47.8,-0.001,-0.01,-54.8,-0.7
-6.0,-3.0,4,0.0,NORMAL,TP+5%/SL-3%,1242,47.1,-0.001,-0.01,-68.5,-1.4
-7.0,-3.0,5,2.0,ALL,引け決済,2816,47.8,-0.002,-0.01,-118.4,-5.0
-7.0,-4.0,6,999.0,NORMAL+STRONG,TP+3%/SL-3%,1026,48.1,-0.001,-0.01,-65.7,-1.0
-5.0,-3.0,5,999.0,NORMAL,TP+3%/SL-3%,1285,47.1,-0.001,-0.01,-75.8,-1.2
-8.0,-5.0,5,2.0,NORMAL,TP+5%/SL-5%,777,47.6,-0.001,-0.01,-75.3,-0.9
-6.0,-5.0,4,2.0,NORMAL+STRONG,TP+2%/SL-2%,596,47.3,-0.001,-0.01,-56.3,-0.6
-5.0,-3.0,3,999.0,ALL,TP+3%/SL-3%,4893,48.0,-0.002,-0.01,-260.7,-8.6
-8.0,-5.0,2,0.0,NORMAL+STRONG,引け決済,1207,49.5,-0.002,-0.01,-91.5,-2.4
-7.0,-5.0,3,999.0,NORMAL+STRONG,TP+5%/SL-3%,1634,46.4,-0.002,-0.01,-108.6,-3.0
-8.0,-4.0,5,2.0,NORMAL,TP+3%/SL-3%,1265,47.4,-0.002,-0.02,-88.9,-2.6
-8.0,-3.0,3,999.0,NORMAL+STRONG,TP+2%/SL-2%,6374,47.8,-0.002,-0.02,-203.3,-11.4
-7.0,-4.0,2,2.0,ALL,TP+5%/SL-3%,4295,45.8,-0.003,-0.02,-114.3,-12.8
-4.0,-3.0,4,999.0,NORMAL,TP+5%/SL-3%,1211,46.1,-0.002,-0.02,-99.1,-2.8
-5.0,-4.0,2,2.0,ALL,TP+3%/SL-3%,2181,47.1,-0.002,-0.02,-84.3,-4.3
-4.0,-3.0,6,0.0,NORMAL+STRONG,引け決済,315,49.2,-0.004,-0.02,-36.1,-1.1
-8.0,-6.0,4,2.0,NORMAL,TP+5%/SL-5%,615,47.5,-0.004,-0.02,-83.4,-2.5
-7.0,-6.0,3,0.0,NORMAL+STRONG,TP+5%/SL-5%,308,47.4,-0.004,-0.02,-43.0,-1.1
-6.0,-4.0,2,0.0,NORMAL,TP+5%/SL-3%,1204,46.7,-0.003,-0.02,-90.2,-3.2
-6.0,-3.0,2,0.0,ALL,TP+3%/SL-3%,3794,48.8,-0.003,-0.02,-214.7,-9.9
-7.0,-4.0,4,999.0,ALL,TP+5%/SL-3%,2610,45.4,-0.003,-0.02,-109.2,-7.7
-5.0,-4.0,3,2.0,ALL,TP+3%/SL-3%,1698,47.3,-0.002,-0.02,-63.6,-3.8
-6.0,-4.0,4,2.0,NORMAL,TP+3%/SL-3%,1175,46.6,-0.003,-0.02,-75.2,-3.5
-5.0,-3.0,6,999.0,ALL,TP+3%/SL-3%,1323,47.4,-0.002,-0.02,-100.2,-3.3
-6.0,-4.0,6,2.0,ALL,引け決済,802,48.3,-0.006,-0.03,-72.6,-4.5
-4.0,-3.0,4,0.0,NORMAL,TP+5%/SL-5%,608,48.7,-0.004,-0.03,-70.3,-2.5
-8.0,-3.0,2,0.0,ALL,TP+5%/SL-5%,4607,48.8,-0.005,-0.03,-226.4,-22.4
-6.0,-3.0,3,2.0,ALL,引け決済,5490,48.5,-0.005,-0.03,-316.0,-25.9
-5.0,-4.0,5,0.0,ALL,TP+5%/SL-5%,415,48.9,-0.005,-0.03,-46.7,-2.1
-7.0,-3.0,4,999.0,NORMAL,TP+5%/SL-5%,2883,47.1,-0.004,-0.03,-116.3,-11.6
-7.0,-3.0,3,0.0,ALL,TP+5%/SL-5%,3232,49.1,-0.004,-0.03,-167.8,-13.7
-6.0,-3.0,5,2.0,NORMAL,TP+3%/SL-3%,1507,46.7,-0.004,-0.03,-65.0,-6.7
-7.0,-3.0,3,2.0,ALL,TP+3%/SL-3%,6185,48.0,-0.004,-0.03,-266.4,-26.0
-8.0,-6.0,3,2.0,NORMAL+STRONG,TP+5%/SL-5%,1060,47.9,-0.005,-0.03,-130.3,-5.2
-8.0,-5.0,6,2.0,NORMAL+STRONG,TP+3%/SL-3%,685,48.8,-0.005,-0.03,-74.3,-3.1
-7.0,-5.0,5,2.0,NORMAL+STRONG,TP+2%/SL-2%,736,47.3,-0.004,-0.03,-43.8,-2.7
-6.0,-5.0,5,999.0,NORMAL+STRONG,TP+3%/SL-3%,480,46.9,-0.004,-0.03,-75.7,-1.8
-6.0,-4.0,4,0.0,ALL,TP+5%/SL-5%,960,48.8,-0.006,-0.03,-85.2,-5.4
-8.0,-6.0,6,999.0,STRONG,TP+5%/SL-3%,116,50.0,-0.007,-0.04,-25.5,-0.8
-8.0,-6.0,6,2.0,NORMAL,TP+5%/SL-5%,336,49.4,-0.007,-0.04,-34.5,-2.4
-7.0,-3.0,3,999.0,ALL,TP+5%/SL-5%,6802,48.0,-0.007,-0.04,-386.3,-46.8
-5.0,-4.0,5,2.0,ALL,TP+2%/SL-2%,762,46.6,-0.004,-0.04,-34.4,-3.0
-6.0,-5.0,3,2.0,ALL,TP+5%/SL-5%,1004,47.8,-0.006,-0.04,-115.5,-5.8
-8.0,-3.0,2,0.0,ALL,TP+5%/SL-3%,4607,46.8,-0.006,-0.04,-204.9,-28.3
-8.0,-5.0,3,2.0,NORMAL+STRONG,TP+3%/SL-3%,1897,48.2,-0.005,-0.04,-82.5,-9.7
-8.0,-3.0,4,999.0,NORMAL,TP+5%/SL-5%,3175,47.1,-0.006,-0.04,-119.3,-19.3
-6.0,-3.0,5,999.0,ALL,TP+5%/SL-5%,2697,47.7,-0.007,-0.04,-182.1,-18.2
-6.0,-4.0,4,0.0,NORMAL,TP+5%/SL-3%,634,46.4,-0.005,-0.04,-65.6,-3.3
-6.0,-4.0,5,999.0,ALL,TP+5%/SL-3%,1400,45.3,-0.006,-0.04,-80.1,-8.6
-7.0,-4.0,5,999.0,NORMAL,TP+5%/SL-3%,1167,45.1,-0.006,-0.04,-84.7,-6.9
-6.0,-3.0,3,0.0,ALL,TP+3%/SL-3%,2860,49.2,-0.005,-0.04,-192.0,-13.4
-6.0,-4.0,4,999.0,ALL,TP+3%/SL-3%,2050,47.2,-0.006,-0.04,-151.0,-12.0
-8.0,-3.0,5,2.0,NORMAL,TP+3%/SL-3%,1969,47.1,-0.005,-0.04,-103.7,-9.8
-6.0,-3.0,6,2.0,NORMAL,TP+5%/SL-3%,929,45.7,-0.005,-0.04,-58.9,-4.8
-7.0,-3.0,2,999.0,ALL,TP+5%/SL-3%,8900,46.3,-0.005,-0.04,-359.5,-45.2
-8.0,-4.0,4,0.0,NORMAL+STRONG,TP+2%/SL-2%,1173,47.7,-0.004,-0.04,-49.2,-4.6
-4.0,-3.0,6,999.0,NORMAL+STRONG,引け決済,673,48.9,-0.006,-0.04,-79.2,-3.8
-7.0,-4.0,4,0.0,ALL,引け決済,1228,48.5,-0.009,-0.05,-81.1,-11.2
-8.0,-6.0,5,2.0,NORMAL,TP+3%/SL-3%,462,48.5,-0.007,-0.05,-48.5,-3.1
-7.0,-4.0,4,999.0,ALL,TP+5%/SL-5%,2610,47.3,-0.008,-0.05,-157.2,-20.8
-5.0,-4.0,5,0.0,NORMAL,TP+3%/SL-3%,278,48.9,-0.007,-0.05,-36.5,-1.8
-6.0,-3.0,2,0.0,NORMAL,TP+5%/SL-3%,2464,47.4,-0.007,-0.05,-102.8,-17.1
-6.0,-5.0,3,0.0,NORMAL+STRONG,TP+5%/SL-3%,428,47.9,-0.007,-0.05,-48.8,-3.0
-8.0,-4.0,4,0.0,ALL,TP+5%/SL-5%,1447,48.0,-0.008,-0.05,-86.8,-11.6
-5.0,-4.0,5,999.0,ALL,TP+5%/SL-5%,839,48.2,-0.008,-0.05,-39.2,-6.7
-7.0,-4.0,5,2.0,ALL,引け決済,1632,47.7,-0.007,-0.05,-94.6,-12.2
-8.0,-3.0,6,2.0,ALL,TP+3%/SL-3%,2011,47.6,-0.006,-0.05,-124.7,-13.0
-8.0,-5.0,6,999.0,STRONG,TP+2%/SL-2%,196,49.0,-0.006,-0.05,-43.4,-1.1
-5.0,-3.0,4,0.0,NORMAL,引け決済,1001,49.3,-0.007,-0.05,-83.8,-7.4
-6.0,-4.0,4,2.0,NORMAL,引け決済,1175,47.3,-0.007,-0.05,-70.2,-8.6
-4.0,-3.0,6,0.0,ALL,TP+3%/SL-3%,385,48.1,-0.007,-0.05,-56.1,-2.7
-7.0,-3.0,4,999.0,NORMAL,TP+5%/SL-3%,2883,45.5,-0.008,-0.05,-105.7,-21.7
-7.0,-5.0,4,2.0,ALL,TP+5%/SL-5%,1213,46.9,-0.008,-0.05,-100.4,-9.8
-5.0,-4.0,3,0.0,ALL,引け決済,882,49.7,-0.009,-0.05,-87.5,-7.6
-5.0,-3.0,2,999.0,ALL,引け決済,6503,48.2,-0.008,-0.05,-332.2,-52.2
-7.0,-4.0,6,0.0,NORMAL+STRONG,TP+5%/SL-5%,453,49.2,-0.008,-0.05,-52.6,-3.7
-4.0,-3.0,6,0.0,ALL,TP+5%/SL-3%,385,46.5,-0.006,-0.05,-64.2,-2.5
-6.0,-3.0,2,2.0,NORMAL,TP+5%/SL-3%,4523,46.4,-0.007,-0.05,-150.8,-31.3
-4.0,-3.0,2,999.0,NORMAL,TP+5%/SL-5%,2477,47.7,-0.007,-0.05,-146.9,-16.1
-5.0,-3.0,6,2.0,ALL,TP+5%/SL-5%,1205,47.7,-0.01,-0.06,-123.4,-12.4
-8.0,-5.0,2,2.0,NORMAL+STRONG,引け決済,2322,49.4,-0.01,-0.06,-133.9,-22.5
-8.0,-6.0,3,2.0,NORMAL+STRONG,TP+5%/SL-3%,1060,45.5,-0.009,-0.06,-119.7,-10.0
-7.0,-3.0,5,999.0,NORMAL,TP+5%/SL-5%,1924,46.9,-0.01,-0.06,-110.2,-18.6
-7.0,-3.0,5,999.0,ALL,TP+5%/SL-3%,3112,45.7,-0.008,-0.06,-152.7,-26.1
-6.0,-4.0,3,999.0,ALL,TP+5%/SL-5%,3001,47.7,-0.009,-0.06,-205.6,-28.0
-7.0,-3.0,4,999.0,ALL,引け決済,4631,48.1,-0.01,-0.06,-233.6,-47.0
-8.0,-3.0,2,999.0,ALL,TP+5%/SL-5%,9631,47.8,-0.009,-0.06,-433.6,-86.9
-4.0,-3.0,5,0.0,NORMAL,TP+2%/SL-2%,385,45.7,-0.006,-0.06,-28.1,-2.1
-7.0,-3.0,5,2.0,ALL,TP+2%/SL-2%,2816,46.7,-0.006,-0.06,-93.2,-17.7
