Date,us_prev_chg
2026-06-10,-1.62
2026-06-11,1.752
2026-06-12,0.503
2026-06-15,1.653
2026-06-16,-0.568
2026-06-17,-1.215
2026-06-18,1.085
2026-06-22,-0.371
2026-06-23,-1.436
2026-06-24,-0.098
2026-06-25,-0.01
2026-06-26,-0.047
2026-06-29,1.175
2026-06-30,0.792
2026-07-01,-0.215
2026-07-02,0.0
2026-07-06,0.724
2026-07-07,-0.446
2026-07-08,-0.282
2026-07-09,0.814
2026-07-10,0.421
2026-07-13,-0.793
2026-07-14,0.376
2026-07-15,0.382
2026-07-16,-0.51
2026-07-17,-1.01
2026-07-20,-0.193
2026-07-21,0.886
2026-07-22,-0.136
2026-07-23,-1.209
2026-07-24,0.05
2026-07-27,0.016
2026-07-28,0.21
2026-07-29,-1.516
2026-07-30,1.66
2026-07-31,0.7
2026-08-03,1.479
2026-08-04,1.79
2026-08-05,-0.168
2026-08-06,-0.176
2026-08-07,0.618
2026-08-10,-0.058
2026-08-11,-0.321
2026-08-12,0.263
2026-08-13,0.652
2026-08-14,-0.17
2026-08-17,-0.523
2026-08-18,-0.688
2026-08-19,0.211
2026-08-20,-0.867
2026-08-21,0.435
2026-08-24,-0.28
2026-08-25,0.319
2026-08-26,-0.021
2026-08-27,0.72
2026-08-28,-0.249
2026-08-31,-0.332
2026-09-01,-0.711
2026-09-02,0.46
2026-09-03,1.058
2026-09-04,-0.376
