code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,gap_pct,ret_oc,ret_max,ret_low,lower_shadow_ratio,vol_decay_3d,consec_drop
1456,2026-01-05,2026-01-06,NORMAL,STRONG,-3.16,5,0.12,-0.29,0.12,-1.05,0.107,0,1
1456,2026-01-13,2026-01-14,NORMAL,NORMAL,-3.03,6,-0.72,-0.79,0.12,-1.09,0.0,0,2
1456,2026-02-09,2026-02-10,STRONG,STRONG,-3.8,5,-1.15,-1.03,0.0,-1.67,0.094,0,2
1458,2025-11-05,2025-11-06,WEAK,NORMAL,-5.29,2,3.8,-1.54,0.24,-2.35,0.76,0,2
1458,2025-11-21,2025-11-25,STRONG,NORMAL,-4.58,4,2.44,-2.44,0.12,-2.89,0.073,0,1
1458,2025-12-01,2025-12-02,WEAK,WEAK,-3.81,2,0.96,-1.11,0.4,-1.15,0.077,0,1
1458,2026-03-10,2026-03-11,WEAK,NORMAL,-5.48,3,3.22,-0.38,2.38,-0.73,0.579,1,4
1459,2025-10-03,2025-10-06,STRONG,STRONG,-3.25,4,-7.05,-2.89,0.36,-3.97,0.1,0,2
1459,2025-10-06,2025-10-07,STRONG,NORMAL,-9.73,9,-1.86,1.89,2.27,-0.76,0.25,0,3
1459,2025-10-15,2025-10-16,STRONG,NORMAL,-4.26,4,-1.48,-0.75,0.75,-1.13,0.091,0,1
1459,2025-10-20,2025-10-21,STRONG,NORMAL,-6.64,5,-2.77,2.44,3.25,-0.41,0.0,0,1
1459,2025-10-31,2025-11-04,NORMAL,NORMAL,-4.33,6,0.0,3.17,3.62,-0.9,0.0,0,1
1459,2026-01-05,2026-01-06,NORMAL,STRONG,-6.36,5,-0.9,-1.37,0.91,-1.83,0.222,0,1
1459,2026-01-09,2026-01-13,NORMAL,NORMAL,-3.07,3,-7.69,1.47,1.96,0.0,0.167,0,1
1459,2026-01-13,2026-01-14,NORMAL,NORMAL,-6.33,6,-1.45,-1.47,0.49,-2.45,0.0,0,2
1459,2026-01-22,2026-01-23,STRONG,NORMAL,-3.3,3,-0.98,0.0,1.48,-0.49,0.333,0,1
145A,2025-11-14,2025-11-17,NORMAL,NORMAL,-3.87,3,-2.75,-1.32,1.69,-7.63,0.171,0,1
145A,2025-11-19,2025-11-20,NORMAL,STRONG,-5.81,6,0.96,-4.42,0.84,-5.68,0.015,0,4
145A,2025-11-20,2025-11-21,STRONG,STRONG,-3.51,5,-1.65,5.71,5.71,-0.34,0.194,0,5
145A,2025-12-01,2025-12-02,WEAK,WEAK,-8.0,2,0.0,-0.1,1.23,-0.31,0.0,0,1
145A,2026-02-16,2026-02-17,NORMAL,NORMAL,-4.89,7,-4.09,0.44,1.31,-3.17,0.314,0,1
145A,2026-02-19,2026-02-20,NORMAL,WEAK,-8.89,9,1.71,-3.0,0.0,-3.36,0.112,0,4
146A,2025-10-02,2025-10-03,NORMAL,STRONG,-5.06,2,1.01,5.99,6.13,0.0,0.057,0,3
146A,2025-10-31,2025-11-04,NORMAL,NORMAL,-3.62,6,0.29,-4.03,0.0,-4.32,0.309,0,4
146A,2025-11-04,2025-11-05,NORMAL,WEAK,-3.75,4,-1.35,-0.76,0.15,-5.02,0.067,0,5
146A,2025-11-14,2025-11-17,NORMAL,NORMAL,-3.8,3,0.0,-0.59,0.0,-4.98,0.079,0,2
146A,2025-11-25,2025-11-26,NORMAL,STRONG,-3.24,3,0.32,0.95,1.91,0.0,0.097,0,1
146A,2025-12-01,2025-12-02,WEAK,WEAK,-7.8,3,-1.21,-6.88,1.83,-7.03,0.071,0,1
146A,2025-12-02,2025-12-03,WEAK,WEAK,-8.01,6,-0.82,-0.5,0.99,-1.26,0.017,0,2
146A,2026-01-21,2026-01-22,WEAK,STRONG,-3.38,2,1.07,0.9,1.36,-0.6,0.591,0,3
146A,2026-03-26,2026-03-27,WEAK,NORMAL,-5.63,2,-1.02,1.41,1.92,-1.03,0.045,0,1
147A,2025-11-21,2025-11-25,STRONG,NORMAL,-5.11,2,1.12,-4.12,0.2,-4.62,0.222,0,1
147A,2026-01-19,2026-01-20,NORMAL,WEAK,-4.4,2,0.34,-1.7,1.87,-2.55,0.127,0,2
147A,2026-01-30,2026-02-02,NORMAL,NORMAL,-4.14,4,0.83,0.91,3.65,-0.46,0.372,0,1
147A,2026-02-12,2026-02-13,NORMAL,WEAK,-4.33,2,5.04,-1.46,3.01,-3.66,0.115,0,1
147A,2026-02-16,2026-02-17,NORMAL,NORMAL,-5.28,2,-1.83,-7.72,0.62,-9.14,0.304,0,1
147A,2026-02-17,2026-02-18,NORMAL,STRONG,-9.41,4,-0.48,-2.9,0.0,-3.48,0.145,0,2
147A,2026-02-18,2026-02-19,STRONG,NORMAL,-3.37,3,0.0,4.18,4.98,-0.7,0.167,0,3
147A,2026-02-20,2026-02-24,WEAK,NORMAL,-3.06,2,-1.48,-2.4,0.0,-2.4,0.378,1,1
147A,2026-02-24,2026-02-25,NORMAL,NORMAL,-3.84,3,0.0,1.74,3.69,0.0,0.0,0,2
148A,2025-11-13,2025-11-14,NORMAL,NORMAL,-8.97,6,-2.14,-3.15,1.79,-3.94,0.073,0,1
148A,2025-11-14,2025-11-17,NORMAL,NORMAL,-5.22,6,-0.14,-0.32,0.0,-5.02,0.137,0,2
148A,2026-02-13,2026-02-16,WEAK,NORMAL,-21.27,8,0.06,-0.59,1.01,-1.13,0.151,0,2
1491,2025-10-23,2025-10-24,NORMAL,NORMAL,-4.29,2,0.22,0.22,2.12,0.0,0.0,0,2
1491,2025-11-14,2025-11-17,NORMAL,NORMAL,-5.96,6,-0.98,-6.4,0.0,-8.62,0.242,0,1
1491,2025-11-21,2025-11-25,STRONG,NORMAL,-3.66,7,0.99,-0.56,1.95,-2.51,0.2,0,6
1491,2025-12-18,2025-12-19,NORMAL,NORMAL,-3.71,3,0.4,4.11,6.49,0.0,0.24,0,1
1491,2025-12-25,2025-12-26,NORMAL,NORMAL,-4.57,3,-0.23,1.49,5.49,-0.23,0.212,0,1
1491,2025-12-30,2026-01-05,WEAK,NORMAL,-11.75,3,3.71,-4.0,0.32,-4.63,0.221,0,1
1491,2026-02-16,2026-02-17,NORMAL,NORMAL,-4.71,3,-1.04,-4.03,0.0,-4.61,0.186,0,2
1491,2026-02-17,2026-02-18,NORMAL,STRONG,-5.03,2,-1.0,0.4,2.32,-0.51,0.125,0,3
1514,2025-10-08,2025-10-09,NORMAL,NORMAL,-3.33,5,0.34,-0.17,0.69,-1.37,0.042,0,2
1514,2025-12-03,2025-12-04,WEAK,NORMAL,-3.18,2,0.18,1.82,1.82,-0.18,0.0,0,5
1514,2025-12-05,2025-12-08,WEAK,NORMAL,-3.76,5,0.37,-0.37,0.74,-0.56,0.0,0,1
1514,2026-01-29,2026-01-30,NORMAL,NORMAL,-17.23,3,-4.92,-0.59,1.63,-3.7,0.012,0,1
