verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition
2026-03-13,2026-03-12,1436,グリーンエナジー＆カンパニー,8.27,6.81,UNKNOWN,3835.0,4190.0,9.26,S,1,WEAK
2026-03-13,2026-03-12,4884,クリングルファーマ,8.05,6.14,UNKNOWN,394.0,397.0,0.76,FLAT,0,WEAK
2026-03-13,2026-03-12,2734,サーラコーポレーション,7.93,5.78,UNKNOWN,1060.0,1055.0,-0.47,FAIL,0,WEAK
2026-03-13,2026-03-12,4074,ラキール,7.91,5.74,UNKNOWN,698.0,695.0,-0.43,FAIL,0,WEAK
2026-03-13,2026-03-12,1844,大盛工業,7.85,5.54,UNKNOWN,665.0,629.0,-5.41,FAIL,0,WEAK
2026-03-13,2026-03-12,4026,神島化学工業,7.75,5.25,UNKNOWN,1875.0,1938.0,3.36,B,0,WEAK
2026-03-13,2026-03-12,4893,ノイルイミューン・バイオテック,7.55,4.66,UNKNOWN,163.0,180.0,10.43,S,1,WEAK
2026-03-13,2026-03-12,5248,テクノロジーズ,7.49,4.48,UNKNOWN,485.0,493.0,1.65,FLAT,0,WEAK
2026-03-16,2026-03-13,7640,トップカルチャー,10.0,12.74,UNKNOWN,206.0,198.0,-3.88,FAIL,0,NORMAL
2026-03-16,2026-03-13,7031,インバウンドテック,10.0,17.65,PASS,687.0,655.0,-4.66,FAIL,0,NORMAL
2026-03-16,2026-03-13,4664,アール・エス・シー,10.0,13.48,UNKNOWN,1011.0,1156.0,14.34,S,1,NORMAL
2026-03-16,2026-03-13,7435,ナ・デックス,10.0,13.4,PASS,1120.0,1119.0,-0.09,FAIL,0,NORMAL
2026-03-16,2026-03-13,4890,坪田ラボ,9.73,11.18,PASS,421.0,400.0,-4.99,FAIL,0,NORMAL
2026-03-16,2026-03-13,3624,アクセルマーク,9.64,10.92,UNKNOWN,84.0,91.0,8.33,A,0,NORMAL
2026-03-16,2026-03-13,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,9.45,10.35,UNKNOWN,413.0,393.0,-4.84,FAIL,0,NORMAL
2026-03-16,2026-03-13,5031,モイ,9.3,9.9,UNKNOWN,312.0,304.0,-2.56,FAIL,0,NORMAL
2026-03-16,2026-03-13,4031,片倉コープアグリ,9.13,9.39,UNKNOWN,1260.0,1297.0,2.94,B,0,NORMAL
2026-03-16,2026-03-13,9514,エフオン,9.12,9.37,UNKNOWN,415.0,390.0,-6.02,FAIL,0,NORMAL
2026-03-16,2026-03-13,6666,リバーエレテック,9.08,9.25,UNKNOWN,842.0,916.0,8.79,S,1,NORMAL
2026-03-16,2026-03-13,7064,ハウテレビジョン,8.48,7.44,PASS,952.0,943.0,-0.95,FAIL,0,NORMAL
2026-03-16,2026-03-13,7743,シード,8.25,6.74,UNKNOWN,618.0,623.0,0.81,FLAT,0,NORMAL
2026-03-16,2026-03-13,5461,中部鋼鈑,8.23,6.68,UNKNOWN,2180.0,2184.0,0.18,FLAT,0,NORMAL
2026-03-16,2026-03-13,2776,新都ホールディングス,8.09,6.27,PASS,139.0,140.0,0.72,FLAT,0,NORMAL
2026-03-16,2026-03-13,1776,三井住建道路,8.02,6.05,PASS,1995.0,1996.0,0.05,FLAT,0,NORMAL
2026-03-16,2026-03-13,9130,共栄タンカー,8.0,8.82,UNKNOWN,2400.0,2348.0,-2.17,FAIL,0,NORMAL
2026-03-16,2026-03-13,5032,ＡＮＹＣＯＬＯＲ,7.9,5.71,UNKNOWN,3585.0,3450.0,-3.77,FAIL,0,NORMAL
2026-03-16,2026-03-13,1844,大盛工業,7.83,5.5,PASS,629.0,639.0,1.59,FLAT,0,NORMAL
2026-03-16,2026-03-13,2734,サーラコーポレーション,7.8,5.41,PASS,1055.0,1060.0,0.47,FLAT,0,NORMAL
2026-03-16,2026-03-16,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,8.94,8.81,PASS,413.0,393.0,-4.84,FAIL,0,NORMAL
2026-03-16,2026-03-16,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,8.93,8.8,PASS,217.0,198.0,-8.76,FAIL,0,NORMAL
2026-03-16,2026-03-16,7692,アースインフィニティ,8.75,8.26,PASS,101.0,99.0,-1.98,FAIL,0,NORMAL
2026-03-16,2026-03-16,9556,ＩＮＴＬＯＯＰ,8.74,8.21,PASS,2035.0,2011.0,-1.18,FAIL,0,NORMAL
2026-03-16,2026-03-16,4438,Ｗｅｌｂｙ,8.32,6.95,UNKNOWN,409.0,383.0,-6.36,FAIL,0,NORMAL
2026-03-16,2026-03-16,4664,アール・エス・シー,8.31,6.92,PASS,1011.0,1156.0,14.34,S,1,NORMAL
2026-03-16,2026-03-16,4934,プレミアアンチエイジング,8.05,6.15,UNKNOWN,661.0,651.0,-1.51,FAIL,0,NORMAL
2026-03-16,2026-03-16,4979,ＯＡＴアグリオ,7.95,5.85,UNKNOWN,3045.0,3060.0,0.49,FLAT,0,NORMAL
2026-03-16,2026-03-16,7743,シード,7.86,5.59,PASS,618.0,623.0,0.81,FLAT,0,NORMAL
2026-03-16,2026-03-16,1433,ベステラ,7.81,5.43,UNKNOWN,1157.0,1151.0,-0.52,FAIL,0,NORMAL
2026-03-16,2026-03-16,4031,片倉コープアグリ,7.8,5.39,PASS,1260.0,1297.0,2.94,B,0,NORMAL
2026-03-16,2026-03-16,9130,共栄タンカー,7.7,5.11,PASS,2400.0,2348.0,-2.17,FAIL,0,NORMAL
2026-03-16,2026-03-16,4890,坪田ラボ,7.67,8.83,PASS,421.0,400.0,-4.99,FAIL,0,NORMAL
2026-03-16,2026-03-16,2929,ファーマフーズ,7.64,4.93,UNKNOWN,619.0,672.0,8.56,A,0,NORMAL
2026-03-16,2026-03-16,3803,イメージ情報開発,7.57,4.71,UNKNOWN,588.0,648.0,10.2,S,1,NORMAL
2026-03-16,2026-03-16,9514,エフオン,7.55,4.66,PASS,415.0,390.0,-6.02,FAIL,0,NORMAL
2026-03-16,2026-03-16,8835,太平洋興発,7.53,4.6,UNKNOWN,914.0,902.0,-1.31,FAIL,0,NORMAL
2026-03-16,2026-03-16,7375,リファインバースグループ,7.46,4.39,UNKNOWN,1208.0,1005.0,-16.8,FAIL,0,NORMAL
2026-03-16,2026-03-16,6336,石井表記,7.46,4.38,UNKNOWN,891.0,919.0,3.14,B,0,NORMAL
2026-03-16,2026-03-16,4263,サスメド,7.45,5.18,UNKNOWN,971.0,996.0,2.57,B,0,NORMAL
