code4,name,last_close_yen
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,246.0
3111,オーミケンシ,247.0
9876,コックス,247.0
6072,地盤ネットホールディングス,248.0
6198,キャリア,248.0
3680,ホットリンク,250.0
7822,永大産業,250.0
4017,クリーマ,250.0
7494,コナカ,250.0
6049,イトクロ,253.0
9557,エアークローゼット,256.0
9969,ショクブン,259.0
3189,ＡＮＡＰホールディングス,259.0
3627,テクミラホールディングス,259.0
3187,ミラタップ,260.0
4584,キッズウェル・バイオ,260.0
2385,総医研ホールディングス,261.0
3825,リミックスポイント,261.0
7908,きもと,263.0
2471,エスプール,263.0
7602,レダックス,264.0
4169,ＥＮＥＣＨＡＮＧＥ,264.0
3909,ショーケース,265.0
1711,ＳＤＳホールディングス,267.0
3639,ボルテージ,268.0
9610,ウィルソン・ラーニング　ワールドワイド,268.0
6776,天昇電気工業,268.0
7851,カワセコンピュータサプライ,269.0
3996,サインポスト,274.0
4766,ピーエイ,275.0
4875,メディシノバ・インク,276.0
9972,アルテック,277.0
2181,パーソルホールディングス,277.5
4890,坪田ラボ,281.0
7779,ＣＹＢＥＲＤＹＮＥ,283.0
9419,ワイヤレスゲート,283.0
6276,シリウスビジョン,283.0
5928,アルメタックス,283.0
3054,ハイパー,284.0
4720,城南進学研究社,284.0
7803,ブシロード,284.0
4438,Ｗｅｌｂｙ,285.0
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,285.3999938964844
2353,日本駐車場開発,286.0
2489,アドウェイズ,286.0
9812,テーオーホールディングス,286.0
3719,ＡＩストーム,287.0
4424,Ａｍａｚｉａ,288.0
3758,アエリア,289.0
3423,エスイー,291.0
8207,テンアライド,291.0
4599,ステムリム,292.0
9563,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,292.0
4052,フィーチャ,293.0
3192,白鳩,293.0
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,293.3999938964844
2686,ジーフット,294.0
3910,エムケイシステム,294.0
8013,ナイガイ,295.0
3929,ソーシャルワイヤー,297.0
4574,大幸薬品,298.0
4650,ＳＤエンターテイメント,298.0
6837,京写,299.0
4484,ランサーズ,299.0
9162,ブリーチ,300.0
7170,中央インターナショナルグループ,300.0
3657,ポールトゥウィンホールディングス,300.0
5866,ＷｉｚＢｉｚ,300.0
8410,セブン銀行,300.8999938964844
4260,ハイブリッドテクノロジーズ,301.0
3810,サイバーステップホールディングス,301.0
5031,モイ,303.0
3645,メディカルネット,304.0
7776,セルシード,304.0
3926,オープンドア,305.0
3928,マイネット,306.0
4176,ココナラ,306.0
4935,リベルタ,306.0
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,306.0
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,306.1000061035156
6031,ＺＥＴＡ,307.0
8209,フレンドリー,308.0
5618,ナイル,309.0
4487,スペースマーケット,310.0
4167,ココペリ,310.0
9160,ノバレーゼ,310.0
4572,カルナバイオサイエンス,312.0
