verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition,high_price,max_rise_pct,day1_pct,day2_pct,day3_pct,day4_pct,day5_pct,max_ret_5d,max_ret_day,exit_reason,exit_day,exit_pct
2026-03-16,2026-03-13,9514,エフオン,9.12,9.37,UNKNOWN,415.0,390.0,-6.02,FAIL,0,NORMAL,,,-6.02,-6.51,-6.02,-10.6,-17.59,-6.02,1,損切り-5%,1,-6.02
2026-03-16,2026-03-13,6666,リバーエレテック,9.08,9.25,UNKNOWN,842.0,916.0,8.79,S,1,NORMAL,,,8.79,-4.16,-5.7,-17.1,-23.52,8.79,1,利確+3%,1,8.79
2026-03-16,2026-03-13,7064,ハウテレビジョン,8.48,7.44,PASS,952.0,943.0,-0.95,FAIL,0,NORMAL,,,-0.95,-1.16,-1.16,0.63,-7.04,0.63,4,損切り-5%,5,-7.04
2026-03-16,2026-03-13,7743,シード,8.25,6.74,UNKNOWN,618.0,623.0,0.81,FLAT,0,NORMAL,,,0.81,-4.69,-7.93,-7.61,0.49,0.81,1,損切り-5%,3,-7.93
2026-03-16,2026-03-13,5461,中部鋼鈑,8.23,6.68,UNKNOWN,2180.0,2184.0,0.18,FLAT,0,NORMAL,,,0.18,1.88,6.97,7.06,8.35,8.35,5,利確+3%,3,6.97
2026-03-16,2026-03-13,2776,新都ホールディングス,8.09,6.27,PASS,139.0,140.0,0.72,FLAT,0,NORMAL,,,0.72,-3.6,-2.88,-5.04,-15.11,0.72,1,損切り-5%,4,-5.04
2026-03-16,2026-03-13,1776,三井住建道路,8.02,6.05,PASS,1995.0,1996.0,0.05,FLAT,0,NORMAL,,,0.05,0.0,0.05,0.0,0.0,0.05,1,引け(day5),5,0.0
2026-03-16,2026-03-13,9130,共栄タンカー,8.0,8.82,UNKNOWN,2400.0,2348.0,-2.17,FAIL,0,NORMAL,,,-2.17,-0.92,-0.79,-1.0,-3.38,-0.79,3,引け(day5),5,-3.38
2026-03-16,2026-03-13,5032,ＡＮＹＣＯＬＯＲ,7.9,5.71,UNKNOWN,3585.0,3450.0,-3.77,FAIL,0,NORMAL,,,-3.77,-4.18,-7.11,-10.74,-15.34,-3.77,1,損切り-5%,3,-7.11
2026-03-16,2026-03-13,1844,大盛工業,7.83,5.5,PASS,629.0,639.0,1.59,FLAT,0,NORMAL,,,1.59,-3.02,-0.64,-4.45,-9.86,1.59,1,損切り-5%,5,-9.86
2026-03-16,2026-03-13,2734,サーラコーポレーション,7.8,5.41,PASS,1055.0,1060.0,0.47,FLAT,0,NORMAL,,,0.47,0.0,1.9,0.19,-2.94,1.9,3,引け(day5),5,-2.94
2026-03-17,2026-03-16,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,8.94,8.81,CAUTION,390.0,385.0,-1.28,FAIL,0,NORMAL,,,-1.28,-2.05,-6.15,-5.64,-5.64,-1.28,1,損切り-5%,3,-6.15
2026-03-17,2026-03-16,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,8.93,8.8,PASS,200.0,196.0,-2.0,FAIL,0,NORMAL,,,-2.0,-1.0,-9.5,-15.5,-15.5,-1.0,2,損切り-5%,3,-9.5
2026-03-17,2026-03-16,7692,アースインフィニティ,8.75,8.26,CAUTION,101.0,103.0,1.98,FLAT,0,NORMAL,,,1.98,2.97,-0.99,-5.94,-5.94,2.97,2,損切り-5%,4,-5.94
