buy_date,code,name,today_rise,buy_price,score,ratio,market_condition,next_rise,next_open,next_close,rebound_score,rebound_reason
2026-03-17,7771,日本精密,-6.36,412.0,-4.35,0.33,WEAK,9.79,419.0,460.0,3.0,MA25大幅下離れ(-17.6%)
2026-03-17,6840,ＡＫＩＢＡホールディングス,-6.26,479.0,0.69,0.45,WEAK,7.01,485.0,519.0,4.0,RSI売られ過ぎ(24) / MA25やや下離れ(-9.4%)
2026-03-17,3997,トレードワークス,-6.21,408.0,-1.31,0.28,WEAK,3.37,416.0,430.0,6.0,RSI売られ過ぎ(22) / MA25大幅下離れ(-17.7%)
2026-03-17,264A,Ｓｃｈｏｏ,-6.18,531.0,3.31,1.74,WEAK,-1.32,531.0,524.0,6.0,RSI中立(46) / 出来高急増(6.4倍)売り枯れ示唆 / MA25下離れ(-14.1%)
2026-03-17,3905,データセクション,-5.95,1533.0,-0.97,0.46,WEAK,-0.58,1552.0,1543.0,5.0,RSI売られ過ぎ(25) / MA25下離れ(-14.9%)
2026-03-17,6580,ライトアップ,-5.65,1635.0,-0.43,0.74,WEAK,1.56,1667.0,1693.0,4.0,RSI中立(46) / MA25大幅下離れ(-18.2%)
2026-03-17,6226,守谷輸送機工業,-5.62,4280.0,2.75,1.75,WEAK,3.76,4385.0,4550.0,6.0,RSI売られ過ぎ(26) / MA25大幅下離れ(-22.1%)
2026-03-17,7743,シード,-5.46,589.0,3.73,3.13,WEAK,-5.32,601.0,569.0,3.0,出来高急増(3.2倍)売り枯れ示唆
2026-03-17,7729,東京精密,-5.45,14305.0,0.12,0.79,WEAK,1.5,14655.0,14875.0,4.0,RSIやや低め(31) / MA25下離れ(-10.6%)
2026-03-17,7138,ＴＯＲＩＣＯ,-5.38,264.0,0.04,0.42,WEAK,-0.37,269.0,268.0,5.0,RSI売られ過ぎ(21) / MA25下離れ(-11.4%)
2026-03-17,2983,アールプランナー,-5.34,1771.0,3.35,1.84,WEAK,-2.43,1772.0,1729.0,7.0,RSIやや低め(35) / 出来高急増(4.3倍)売り枯れ示唆 / MA25下離れ(-14.7%)
2026-03-17,6315,ＴＯＷＡ,-5.33,2504.0,-0.63,0.58,WEAK,4.09,2566.0,2671.0,4.0,RSIやや低め(37) / MA25下離れ(-10.9%)
2026-03-17,1885,東亜建設工業,-5.27,3325.0,2.46,1.11,WEAK,1.2,3345.0,3385.0,5.0,RSI売られ過ぎ(23) / MA25下離れ(-14.8%)
2026-03-17,4228,積水化成品工業,-5.06,450.0,2.12,1.26,WEAK,4.8,458.0,480.0,3.0,RSIやや低め(36) / MA25やや下離れ(-8.7%)
2026-03-17,6146,ディスコ,-5.03,67350.0,-0.79,0.69,WEAK,2.88,68700.0,70680.0,3.0,RSIやや低め(37) / MA25やや下離れ(-6.9%)
2026-03-18,2656,ベクターホールディングス,-22.73,170.0,8.54,7.62,NORMAL,-0.6,168.0,167.0,3.0,出来高急増(51.1倍)売り枯れ示唆
2026-03-18,4881,ファンペップ,-13.82,106.0,5.8,2.13,NORMAL,0.0,104.0,104.0,3.0,出来高急増(6.6倍)売り枯れ示唆
2026-03-18,3803,イメージ情報開発,-10.27,725.0,5.39,5.39,NORMAL,5.9,695.0,736.0,3.0,出来高急増(4.7倍)売り枯れ示唆
2026-03-18,4625,アトミクス,-9.62,939.0,6.96,2.89,NORMAL,-0.96,934.0,925.0,3.0,出来高急増(16.8倍)売り枯れ示唆
2026-03-18,9237,笑美面,-7.51,764.0,5.42,2.23,NORMAL,-1.08,741.0,733.0,8.0,RSI売られ過ぎ(28) / 出来高急増(24.8倍)売り枯れ示唆 / MA25下離れ(-14.4%)
2026-03-18,4813,ＡＣＣＥＳＳ,-6.14,596.0,4.9,1.42,NORMAL,-1.19,586.0,579.0,3.0,出来高急増(6.0倍)売り枯れ示唆
2026-03-18,2778,パレモ・ホールディングス,-5.93,127.0,-0.32,0.41,NORMAL,-5.51,127.0,120.0,8.0,RSI極度売られ過ぎ(19) / 出来高増加(2.2倍) / MA25下離れ(-13.8%)
2026-03-18,3657,ポールトゥウィンホールディングス,-5.84,290.0,1.79,0.74,NORMAL,0.0,289.0,289.0,6.0,RSIやや低め(38) / 出来高急増(4.1倍)売り枯れ示唆 / MA25やや下離れ(-5.4%)
2026-03-18,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,-5.21,1347.0,1.86,1.45,NORMAL,-1.18,1352.0,1336.0,9.0,RSI売られ過ぎ(26) / 出来高急増(5.6倍)売り枯れ示唆 / MA25大幅下離れ(-15.5%)
2026-03-18,5248,テクノロジーズ,-5.21,455.0,-1.21,1.46,NORMAL,-3.98,452.0,434.0,4.0,RSIやや低め(32) / MA25下離れ(-12.2%)
