TP,SL,IS_Sharpe,IS_N,IS_WR,IS_avg,OOS_Sharpe,OOS_N,OOS_WR,OOS_avg
7.0000,4.0000,0.6651,131232,48.9332,0.0741,0.3935,87921,48.3423,0.0465
7.0000,5.0000,0.8409,131232,49.2647,0.0947,0.4758,87921,48.6061,0.0571
7.0000,6.0000,0.9166,131232,49.3912,0.1037,0.5174,87921,48.7187,0.0627
7.0000,7.0000,0.9546,131232,49.4399,0.1083,0.5322,87921,48.7563,0.0648
7.0000,8.0000,0.9794,131232,49.4635,0.1112,0.5445,87921,48.7790,0.0665
7.5000,2.0000,-0.1155,131232,45.8691,-0.0118,-0.1955,87921,45.1337,-0.0210
7.5000,3.0000,0.3933,131232,48.1445,0.0429,0.2155,87921,47.5654,0.0249
7.5000,4.0000,0.6635,131232,48.9103,0.0745,0.4074,87921,48.3332,0.0485
7.5000,5.0000,0.8367,131232,49.2380,0.0949,0.4872,87921,48.5925,0.0589
7.5000,6.0000,0.9122,131232,49.3637,0.1040,0.5260,87921,48.7017,0.0642
7.5000,7.0000,0.9460,131232,49.4079,0.1082,0.5408,87921,48.7392,0.0663
7.5000,8.0000,0.9704,131232,49.4308,0.1110,0.5522,87921,48.7608,0.0679
8.0000,2.0000,-0.0939,131232,45.8669,-0.0097,-0.1728,87921,45.1326,-0.0187
8.0000,3.0000,0.4038,131232,48.1323,0.0444,0.2358,87921,47.5632,0.0274
8.0000,4.0000,0.6688,131232,48.8913,0.0757,0.4230,87921,48.3275,0.0507
8.0000,5.0000,0.8386,131232,49.2144,0.0959,0.5010,87921,48.5845,0.0610
8.0000,6.0000,0.9122,131232,49.3378,0.1048,0.5405,87921,48.6937,0.0665
8.0000,7.0000,0.9457,131232,49.3812,0.1090,0.5555,87921,48.7312,0.0686
8.0000,8.0000,0.9684,131232,49.4026,0.1117,0.5646,87921,48.7506,0.0700
