datetime,time,open,high,low,close,volume
2026-03-27 12:34:00+09:00,12:34,853.0,855.0,853.0,855.0,600
2026-03-27 12:35:00+09:00,12:35,855.0,855.0,852.0,853.0,700
2026-03-27 12:39:00+09:00,12:39,852.0,852.0,852.0,852.0,200
2026-03-27 12:40:00+09:00,12:40,853.0,853.0,853.0,853.0,300
2026-03-27 12:41:00+09:00,12:41,853.0,853.0,853.0,853.0,400
2026-03-27 12:43:00+09:00,12:43,853.0,854.0,853.0,854.0,200
2026-03-27 12:46:00+09:00,12:46,853.0,853.0,853.0,853.0,200
2026-03-27 12:49:00+09:00,12:49,852.0,852.0,846.0,851.0,6000
2026-03-27 12:51:00+09:00,12:51,849.0,849.0,849.0,849.0,100
2026-03-27 12:53:00+09:00,12:53,850.0,850.0,850.0,850.0,100
2026-03-27 12:54:00+09:00,12:54,852.0,852.0,846.0,846.0,1000
2026-03-27 12:55:00+09:00,12:55,849.0,849.0,849.0,849.0,200
2026-03-27 12:56:00+09:00,12:56,851.0,851.0,851.0,851.0,100
2026-03-27 12:58:00+09:00,12:58,852.0,852.0,851.0,851.0,200
2026-03-27 13:00:00+09:00,13:00,851.0,851.0,851.0,851.0,100
2026-03-27 13:01:00+09:00,13:01,852.0,852.0,852.0,852.0,100
2026-03-27 13:02:00+09:00,13:02,852.0,853.0,852.0,852.0,500
2026-03-27 13:03:00+09:00,13:03,851.0,851.0,849.0,850.0,700
2026-03-27 13:04:00+09:00,13:04,850.0,851.0,850.0,851.0,600
2026-03-27 13:05:00+09:00,13:05,851.0,851.0,851.0,851.0,100
2026-03-27 13:06:00+09:00,13:06,853.0,853.0,853.0,853.0,100
2026-03-27 13:07:00+09:00,13:07,852.0,852.0,851.0,851.0,200
2026-03-27 13:08:00+09:00,13:08,852.0,852.0,852.0,852.0,200
2026-03-27 13:09:00+09:00,13:09,851.0,851.0,851.0,851.0,100
2026-03-27 13:10:00+09:00,13:10,852.0,854.0,852.0,853.0,1700
2026-03-27 13:11:00+09:00,13:11,852.0,853.0,852.0,853.0,700
2026-03-27 13:12:00+09:00,13:12,854.0,854.0,854.0,854.0,100
2026-03-27 13:14:00+09:00,13:14,854.0,857.0,854.0,857.0,1100
2026-03-27 13:15:00+09:00,13:15,856.0,856.0,856.0,856.0,100
2026-03-27 13:17:00+09:00,13:17,854.0,854.0,854.0,854.0,100
2026-03-27 13:21:00+09:00,13:21,856.0,859.0,856.0,859.0,1000
2026-03-27 13:22:00+09:00,13:22,859.0,860.0,859.0,860.0,1000
2026-03-27 13:23:00+09:00,13:23,860.0,861.0,860.0,861.0,1100
2026-03-27 13:24:00+09:00,13:24,862.0,862.0,862.0,862.0,400
2026-03-27 13:25:00+09:00,13:25,862.0,862.0,859.0,859.0,600
2026-03-27 13:26:00+09:00,13:26,861.0,861.0,861.0,861.0,100
2026-03-27 13:27:00+09:00,13:27,858.0,858.0,856.0,856.0,500
2026-03-27 13:31:00+09:00,13:31,856.0,858.0,856.0,857.0,400
2026-03-27 13:32:00+09:00,13:32,858.0,858.0,858.0,858.0,100
2026-03-27 13:36:00+09:00,13:36,858.0,858.0,858.0,858.0,100
2026-03-27 13:38:00+09:00,13:38,856.0,856.0,829.0,842.0,30400
2026-03-27 13:39:00+09:00,13:39,839.0,842.0,839.0,842.0,1200
2026-03-27 13:40:00+09:00,13:40,840.0,842.0,830.0,840.0,8100
2026-03-27 13:41:00+09:00,13:41,840.0,840.0,834.0,838.0,2300
2026-03-27 13:42:00+09:00,13:42,838.0,839.0,838.0,839.0,1800
2026-03-27 13:43:00+09:00,13:43,839.0,840.0,839.0,839.0,400
2026-03-27 13:44:00+09:00,13:44,838.0,839.0,837.0,838.0,2600
2026-03-27 13:45:00+09:00,13:45,837.0,839.0,837.0,838.0,700
2026-03-27 13:46:00+09:00,13:46,839.0,841.0,839.0,841.0,1900
2026-03-27 13:47:00+09:00,13:47,842.0,842.0,842.0,842.0,200
2026-03-27 13:48:00+09:00,13:48,843.0,843.0,843.0,843.0,100
2026-03-27 13:50:00+09:00,13:50,840.0,840.0,837.0,837.0,900
2026-03-27 13:51:00+09:00,13:51,839.0,839.0,839.0,839.0,200
2026-03-27 13:52:00+09:00,13:52,840.0,840.0,840.0,840.0,100
2026-03-27 13:53:00+09:00,13:53,840.0,840.0,840.0,840.0,100
2026-03-27 13:54:00+09:00,13:54,840.0,840.0,840.0,840.0,200
2026-03-27 13:55:00+09:00,13:55,840.0,840.0,837.0,838.0,1800
2026-03-27 13:56:00+09:00,13:56,839.0,839.0,838.0,839.0,700
2026-03-27 13:57:00+09:00,13:57,838.0,839.0,838.0,839.0,300
2026-03-27 13:58:00+09:00,13:58,839.0,839.0,839.0,839.0,100
2026-03-27 14:00:00+09:00,14:00,839.0,839.0,838.0,839.0,300
2026-03-27 14:01:00+09:00,14:01,838.0,838.0,837.0,837.0,300
2026-03-27 14:02:00+09:00,14:02,837.0,837.0,833.0,833.0,3300
2026-03-27 14:03:00+09:00,14:03,834.0,834.0,833.0,833.0,800
2026-03-27 14:04:00+09:00,14:04,834.0,834.0,822.0,827.0,7000
2026-03-27 14:05:00+09:00,14:05,827.0,828.0,826.0,826.0,900
2026-03-27 14:06:00+09:00,14:06,828.0,828.0,826.0,826.0,500
2026-03-27 14:08:00+09:00,14:08,826.0,826.0,826.0,826.0,100
2026-03-27 14:09:00+09:00,14:09,826.0,826.0,822.0,825.0,1200
2026-03-27 14:11:00+09:00,14:11,825.0,825.0,821.0,821.0,3400
2026-03-27 14:12:00+09:00,14:12,822.0,822.0,811.0,817.0,9500
2026-03-27 14:13:00+09:00,14:13,816.0,817.0,816.0,816.0,1400
2026-03-27 14:14:00+09:00,14:14,817.0,819.0,817.0,818.0,600
2026-03-27 14:15:00+09:00,14:15,819.0,824.0,819.0,824.0,900
2026-03-27 14:16:00+09:00,14:16,822.0,822.0,820.0,821.0,300
2026-03-27 14:17:00+09:00,14:17,821.0,823.0,817.0,823.0,3400
2026-03-27 14:18:00+09:00,14:18,820.0,822.0,820.0,820.0,1300
2026-03-27 14:19:00+09:00,14:19,820.0,820.0,815.0,817.0,4700
2026-03-27 14:20:00+09:00,14:20,818.0,822.0,816.0,816.0,2900
2026-03-27 14:21:00+09:00,14:21,817.0,817.0,812.0,813.0,5400
2026-03-27 14:22:00+09:00,14:22,813.0,814.0,811.0,811.0,1700
2026-03-27 14:23:00+09:00,14:23,811.0,813.0,808.0,808.0,5100
2026-03-27 14:24:00+09:00,14:24,809.0,809.0,789.0,789.0,28900
2026-03-27 14:25:00+09:00,14:25,792.0,817.0,789.0,812.0,30300
2026-03-27 14:26:00+09:00,14:26,812.0,816.0,806.0,806.0,13300
2026-03-27 14:27:00+09:00,14:27,808.0,817.0,808.0,810.0,12200
2026-03-27 14:28:00+09:00,14:28,808.0,808.0,800.0,805.0,3900
2026-03-27 14:29:00+09:00,14:29,803.0,806.0,803.0,805.0,600
2026-03-27 14:30:00+09:00,14:30,804.0,806.0,804.0,806.0,500
2026-03-27 14:31:00+09:00,14:31,807.0,808.0,803.0,806.0,6200
2026-03-27 14:32:00+09:00,14:32,805.0,805.0,805.0,805.0,200
2026-03-27 14:34:00+09:00,14:34,807.0,807.0,807.0,807.0,400
2026-03-27 14:35:00+09:00,14:35,807.0,807.0,804.0,804.0,1400
2026-03-27 14:36:00+09:00,14:36,804.0,804.0,801.0,802.0,2100
2026-03-27 14:37:00+09:00,14:37,801.0,801.0,793.0,793.0,12300
2026-03-27 14:38:00+09:00,14:38,793.0,796.0,792.0,792.0,3700
2026-03-27 14:39:00+09:00,14:39,793.0,793.0,785.0,788.0,9000
2026-03-27 14:40:00+09:00,14:40,788.0,795.0,788.0,794.0,2100
2026-03-27 14:41:00+09:00,14:41,796.0,797.0,795.0,797.0,1200
2026-03-27 14:42:00+09:00,14:42,796.0,798.0,796.0,796.0,1200
2026-03-27 14:43:00+09:00,14:43,796.0,799.0,795.0,799.0,1100
2026-03-27 14:44:00+09:00,14:44,797.0,797.0,796.0,796.0,200
2026-03-27 14:45:00+09:00,14:45,797.0,797.0,797.0,797.0,200
2026-03-27 14:46:00+09:00,14:46,796.0,796.0,792.0,792.0,2100
2026-03-27 14:48:00+09:00,14:48,792.0,793.0,792.0,792.0,300
2026-03-27 14:49:00+09:00,14:49,793.0,795.0,786.0,786.0,5300
2026-03-27 14:50:00+09:00,14:50,790.0,790.0,790.0,790.0,200
2026-03-27 14:51:00+09:00,14:51,789.0,792.0,789.0,792.0,500
2026-03-27 14:52:00+09:00,14:52,792.0,793.0,788.0,788.0,1700
